date,open,high,low,close,EMA,Volume,ATR,RSI
2023-09-10,87.261,88.126,86.696,87.304,83.777,76238.000,1.838,69.641
2023-09-11,87.304,89.344,87.195,88.759,84.252,66494.000,1.879,73.095
2023-09-12,88.759,89.625,88.266,88.834,84.688,76450.000,1.810,73.264
2023-09-13,88.834,90.766,88.664,90.680,85.259,70887.000,1.849,77.077
2023-09-14,90.680,91.166,89.194,91.136,85.818,86337.000,1.865,77.915
2023-09-17,91.136,92.410,90.725,92.210,86.427,72097.000,1.841,79.789
2023-09-18,92.210,93.726,91.059,91.520,86.912,90379.000,1.951,75.365
2023-09-19,91.520,91.520,88.945,89.215,87.131,95414.000,2.034,62.830
2023-09-20,89.215,90.966,88.354,89.564,87.363,87816.000,2.111,63.812
2023-09-21,89.564,91.306,89.290,90.281,87.641,88794.000,2.099,65.809
2023-09-24,90.281,90.806,89.004,89.876,87.854,76035.000,2.059,63.671
2023-09-25,89.876,90.705,88.174,90.530,88.109,76093.000,2.122,65.614
2023-09-26,90.530,94.144,90.389,93.701,88.641,108964.000,2.340,73.119
2023-09-27,93.701,95.015,91.366,91.780,88.940,116100.000,2.514,64.005
2023-09-28,91.780,93.081,90.339,90.790,89.116,101730.000,2.545,59.864
2023-10-01,90.790,91.856,88.439,88.616,89.069,96260.000,2.661,51.920
2023-10-02,88.616,90.246,87.746,89.420,89.102,107968.000,2.640,54.333
2023-10-03,89.420,89.571,84.144,84.436,88.658,112503.000,3.011,40.695
2023-10-04,84.436,84.896,82.134,82.534,88.075,132384.000,2.978,36.890
2023-10-05,82.534,83.261,81.484,82.786,87.571,117380.000,2.818,37.721
2023-10-08,82.786,87.216,82.786,86.356,87.455,133147.000,3.033,48.139
2023-10-09,86.356,86.716,85.096,85.934,87.310,101379.000,2.844,47.135
2023-10-10,85.934,86.496,83.094,83.265,86.925,111928.000,2.919,41.273
2023-10-11,83.265,85.180,82.290,83.489,86.598,101445.000,2.915,41.926
2023-10-12,83.489,87.811,83.335,87.639,86.697,102721.000,3.123,52.467
2023-10-15,87.639,88.315,86.300,87.021,86.728,114745.000,2.975,50.983
2023-10-16,87.021,87.726,85.584,87.695,86.820,94799.000,2.864,52.559
2023-10-17,87.695,89.856,87.179,88.166,86.948,97152.000,2.839,53.680
2023-10-18,88.166,90.681,86.600,90.325,87.270,92748.000,3.005,58.518
2023-10-19,90.325,90.325,87.516,88.170,87.355,95138.000,2.979,52.611
2023-10-22,88.170,88.215,85.334,86.084,87.234,98360.000,2.966,47.602
2023-10-23,86.084,86.266,82.925,83.654,86.893,99844.000,3.016,42.523
2023-10-24,83.654,85.536,82.066,85.281,86.740,109973.000,3.076,46.629
2023-10-25,85.281,85.576,82.549,83.481,86.429,114273.000,3.070,42.972
2023-10-26,83.481,85.875,83.074,85.001,86.293,119806.000,3.034,46.769
2023-10-29,85.001,85.035,81.799,82.565,85.938,116499.000,3.061,41.948
2023-10-30,82.565,83.346,80.715,81.335,85.500,107159.000,3.004,39.722
2023-10-31,81.335,83.390,80.284,80.880,85.060,95221.000,3.017,38.900
2023-11-01,80.880,82.804,80.206,82.471,84.813,93026.000,2.961,43.319
2023-11-02,82.471,83.579,80.084,80.791,84.430,114919.000,3.032,40.027
2023-11-05,80.791,82.216,80.639,80.900,84.094,84264.000,2.838,40.344
2023-11-06,80.900,81.024,77.079,77.115,83.429,94741.000,2.986,33.689
2023-11-07,77.115,77.510,74.894,75.569,82.681,120252.000,2.937,31.410
2023-11-08,75.569,77.135,75.190,75.564,82.003,96163.000,2.804,31.403
2023-11-09,75.564,77.709,75.290,77.389,81.564,74813.000,2.753,37.216
2023-11-12,77.389,78.615,76.194,78.501,81.272,68626.000,2.709,40.523
2023-11-13,78.501,79.750,77.770,78.196,80.979,72348.000,2.612,39.902
2023-11-14,78.196,78.745,76.299,76.549,80.557,80358.000,2.590,36.638
2023-11-15,76.549,76.605,72.140,72.884,79.826,78256.000,2.840,30.632
2023-11-16,72.884,75.964,72.719,75.770,79.440,71570.000,2.894,39.098
2023-11-19,75.770,78.435,75.399,77.584,79.263,65194.000,2.913,43.745
2023-11-20,77.584,77.896,76.904,77.799,79.124,71613.000,2.657,44.288
2023-11-21,77.799,77.946,73.770,76.789,78.901,119461.000,2.859,42.227
2023-11-22,76.789,76.791,75.274,76.396,78.663,52226.000,2.680,41.420
2023-11-23,76.396,77.064,75.064,75.130,78.326,49045.000,2.589,38.843
2023-11-26,75.130,76.209,74.039,75.009,78.010,91840.000,2.534,38.596
2023-11-27,75.009,76.995,74.624,76.545,77.871,75802.000,2.512,43.510
2023-11-28,76.545,78.070,75.659,77.689,77.854,91578.000,2.498,46.917
2023-11-29,77.689,79.576,75.039,75.604,77.639,163081.000,2.770,41.951
2023-11-30,75.604,76.746,73.916,74.354,77.326,109731.000,2.778,39.267
2023-12-03,74.354,75.005,72.614,73.265,76.940,113754.000,2.727,37.044
2023-12-04,73.265,74.096,72.005,72.051,76.474,108197.000,2.642,34.686
2023-12-05,72.051,72.581,69.086,69.234,75.784,100198.000,2.756,29.926
2023-12-06,69.234,70.459,68.780,69.629,75.198,94114.000,2.612,31.348
2023-12-07,69.629,71.606,69.484,71.334,74.830,88862.000,2.547,37.269
2023-12-10,71.334,71.786,70.334,71.381,74.502,72875.000,2.401,37.429
2023-12-11,71.381,71.936,68.194,68.750,73.954,79602.000,2.580,32.436
2023-12-12,68.750,69.866,67.694,69.844,73.563,86951.000,2.525,36.244
2023-12-13,69.844,72.434,69.524,71.631,73.379,70004.000,2.577,41.996
2023-12-14,71.631,72.206,70.285,71.694,73.218,65470.000,2.489,42.194
2023-12-17,71.694,74.245,70.599,72.504,73.150,78608.000,2.643,44.803
2023-12-18,72.504,74.425,72.119,74.166,73.247,65337.000,2.598,49.808
2023-12-19,74.166,75.355,73.596,73.794,73.299,72009.000,2.486,48.742
2023-12-20,73.794,74.564,72.424,73.921,73.358,85680.000,2.440,49.142
2023-12-21,73.921,74.966,73.365,73.495,73.371,69060.000,2.328,47.795
2023-12-25,73.495,76.156,73.124,75.414,73.566,53065.000,2.422,53.923
2023-12-26,75.414,75.635,73.750,73.799,73.588,71967.000,2.351,48.738
2023-12-27,73.799,74.380,71.701,72.020,73.439,76920.000,2.394,43.748
2023-12-28,72.020,72.605,71.234,71.331,73.238,66480.000,2.258,41.956
2024-01-01,71.331,73.621,70.040,70.475,72.975,97704.000,2.434,39.776
2024-01-02,70.475,73.206,69.264,72.990,72.976,96579.000,2.635,48.278
2024-01-03,72.990,73.975,71.040,72.379,72.919,95729.000,2.675,46.559
2024-01-04,72.379,74.216,72.195,73.856,73.009,85481.000,2.588,51.094
2024-01-07,73.856,73.924,70.114,70.910,72.809,84883.000,2.751,43.216
2024-01-08,70.910,72.916,70.449,72.206,72.751,82901.000,2.713,47.082
2024-01-09,72.206,73.565,70.989,71.296,72.613,86703.000,2.695,44.777
2024-01-10,71.296,73.786,71.154,72.835,72.634,70852.000,2.686,49.297
2024-01-11,72.835,75.226,72.351,72.700,72.640,99397.000,2.712,48.919
2024-01-14,72.700,72.915,71.219,72.475,72.624,54926.000,2.576,48.254
2024-01-15,72.475,73.545,71.694,71.899,72.555,96206.000,2.479,46.512
2024-01-16,71.899,72.926,70.489,72.815,72.580,85794.000,2.474,49.627
2024-01-17,72.815,74.356,72.164,74.000,72.715,66899.000,2.436,53.407
2024-01-18,74.000,74.891,73.166,73.620,72.801,64014.000,2.341,52.058
2024-01-21,73.620,75.435,72.549,74.635,72.976,64677.000,2.414,55.305
2024-01-22,74.635,75.225,73.394,74.490,73.120,62809.000,2.336,54.735
2024-01-23,74.490,75.816,73.930,75.331,73.331,68283.000,2.276,57.474
2024-01-24,75.331,77.486,75.144,77.081,73.688,58826.000,2.285,62.553
2024-01-25,77.081,78.236,76.044,78.065,74.105,68707.000,2.273,65.078
2024-01-28,78.065,79.266,76.395,76.965,74.377,84103.000,2.352,60.192
2024-01-29,76.965,78.116,75.825,77.770,74.700,73095.000,2.344,62.416
